AGE,B,CRIM,DIS,INDUS,LSTAT,NOX,PIRATIO,RM,TAX,ZN,RAD,CHAS,MEDV
24.8,395.52,0.01501,5.885,1.21,3.16,0.401,13.6,7.923,198,90,1,1,50
20.8,394.72,0.00906,7.3073,2.97,7.85,0.4,15.3,7.088,285,90,1,0,32.2
31.9,394.72,0.01096,7.3073,2.25,8.23,0.389,15.3,6.453,300,55,1,0,22
31.5,341.6,0.01965,9.0892,1.76,12.93,0.385,18.2,6.23,241,80,1,0,20.1
31.3,396.9,0.03871,7.3172,5.32,7.14,0.405,16.6,6.209,293,52.5,6,0,23.2
45.6,396.9,0.0459,7.3172,5.32,7.6,0.405,16.6,6.315,293,52.5,6,0,22.3
22.9,371.72,0.04297,7.3172,5.32,9.51,0.405,16.6,6.565,293,52.5,6,0,24.8
27.9,396.9,0.03502,5.1167,4.95,3.33,0.411,19.2,6.861,245,80,4,0,28.5
27.7,396.9,0.07886,5.1167,4.95,3.56,0.411,19.2,7.148,245,80,4,0,37.3
23.4,396.9,0.03615,5.1167,4.95,4.7,0.411,19.2,6.63,245,80,4,0,27.9
18.4,396.9,0.08265,5.5027,13.92,8.58,0.437,16,6.127,289,0,4,0,23.9
42.3,396.9,0.08199,5.5027,13.92,10.4,0.437,16,6.009,289,0,4,0,21.7
31.1,396.9,0.12932,5.9604,13.92,6.27,0.437,16,6.678,289,0,4,0,28.6
51,392.85,0.05372,5.9604,13.92,7.39,0.437,16,6.549,289,0,4,0,27.1
58,396.9,0.14103,6.32,13.92,15.84,0.437,16,5.79,289,0,4,0,20.3
20.1,368.24,0.06466,7.8278,2.24,4.97,0.4,14.8,6.345,358,70,5,0,22.5
10,371.58,0.05561,7.8278,2.24,4.74,0.4,14.8,7.041,358,70,5,0,29
47.4,390.86,0.04417,7.8278,2.24,6.07,0.4,14.8,6.871,358,70,5,0,24.8
40.4,395.75,0.03537,5.4917,6.09,9.5,0.433,16.1,6.59,329,34,7,0,22
18.4,383.61,0.09266,5.4917,6.09,8.67,0.433,16.1,6.495,329,34,7,0,26.4
17.7,390.43,0.1,5.4917,6.09,4.86,0.433,16.1,6.982,329,34,7,0,33.1
41.1,393.68,0.05515,4.022,2.18,6.93,0.472,18.4,7.236,222,33,7,0,36.1
58.1,393.36,0.05479,3.37,2.18,8.93,0.472,18.4,6.616,222,33,7,0,28.4
71.9,396.9,0.07503,3.0992,2.18,6.47,0.472,18.4,7.42,222,33,7,0,33.4
70.3,396.9,0.04932,3.1827,2.18,7.53,0.472,18.4,6.849,222,33,7,0,28.2
82.5,396.9,0.49298,3.3175,9.9,4.54,0.544,18.4,6.635,304,0,4,0,22.8
76.7,396.24,0.3494,3.1025,9.9,9.97,0.544,18.4,5.972,304,0,4,0,20.3
37.8,350.45,2.63548,2.5194,9.9,12.64,0.544,18.4,4.973,304,0,4,0,16.1
52.8,396.9,0.79041,2.6403,9.9,5.98,0.544,18.4,6.122,304,0,4,0,22.1
90.4,396.3,0.26169,2.834,9.9,11.72,0.544,18.4,6.023,304,0,4,0,19.4
82.8,393.39,0.26938,3.2628,9.9,7.9,0.544,18.4,6.266,304,0,4,0,21.6
87.3,395.69,0.3692,3.6023,9.9,9.28,0.544,18.4,6.567,304,0,4,0,23.8
77.7,396.42,0.25356,3.945,9.9,11.5,0.544,18.4,5.705,304,0,4,0,16.2
83.2,390.7,0.31827,3.9986,9.9,18.33,0.544,18.4,5.914,304,0,4,0,17.8
71.7,396.9,0.24522,4.0317,9.9,15.94,0.544,18.4,5.782,304,0,4,0,19.8
67.2,395.21,0.40202,3.5325,9.9,10.36,0.544,18.4,6.382,304,0,4,0,23.1
58.8,396.23,0.47547,4.0019,9.9,12.73,0.544,18.4,6.113,304,0,4,0,21
52.3,396.9,0.1676,4.5404,7.38,7.2,0.493,19.6,6.426,287,0,5,0,23.8
54.3,396.9,0.18159,4.5404,7.38,6.87,0.493,19.6,6.376,287,0,5,0,23.1
49.9,396.9,0.35114,4.7211,7.38,7.7,0.493,19.6,6.041,287,0,5,0,20.4
74.3,391.13,0.28392,4.7211,7.38,11.74,0.493,19.6,5.708,287,0,5,0,18.5
40.1,396.9,0.34109,4.7211,7.38,6.12,0.493,19.6,6.415,287,0,5,0,25
14.7,393.68,0.19186,5.4159,7.38,5.08,0.493,19.6,6.431,287,0,5,0,24.6
28.9,396.9,0.30347,5.4159,7.38,6.15,0.493,19.6,6.312,287,0,5,0,23
43.7,396.9,0.24103,5.4159,7.38,12.79,0.493,19.6,6.083,287,0,5,0,22.2
25.8,382.44,0.06617,5.2146,3.24,9.97,0.46,16.9,5.868,430,0,4,0,19.3
17.2,375.21,0.06724,5.2146,3.24,7.34,0.46,16.9,6.333,430,0,4,0,22.6
32.2,368.57,0.04544,5.8736,3.24,9.09,0.46,16.9,6.144,430,0,4,0,19.8
28.4,394.02,0.05023,6.6407,6.06,12.43,0.4379,16.9,5.706,304,35,1,0,17.1
23.3,362.25,0.03466,6.6407,6.06,7.83,0.4379,16.9,6.031,304,35,1,0,19.4
38.1,389.71,0.05083,6.4584,5.19,5.68,0.515,20.2,6.316,224,0,5,0,22.2
38.5,389.4,0.03738,6.4584,5.19,6.75,0.515,20.2,6.31,224,0,5,0,20.7
34.5,396.9,0.03961,5.9853,5.19,8.01,0.515,20.2,6.037,224,0,5,0,21.1
46.3,396.9,0.03427,5.2311,5.19,9.8,0.515,20.2,5.869,224,0,5,0,19.5
59.6,394.81,0.03041,5.615,5.19,10.56,0.515,20.2,5.895,224,0,5,0,18.5
37.3,396.14,0.03306,4.8122,5.19,8.51,0.515,20.2,6.059,224,0,5,0,20.6
45.4,396.9,0.05497,4.8122,5.19,9.74,0.515,20.2,5.985,224,0,5,0,19
58.5,396.9,0.06151,4.8122,5.19,9.29,0.515,20.2,5.968,224,0,5,0,18.7
49.3,394.74,0.01301,7.0379,1.52,5.49,0.442,15.5,7.241,284,35,1,0,32.7
59.7,389.96,0.02498,6.2669,1.89,8.65,0.518,15.9,6.54,422,0,1,0,16.5
56.4,396.9,0.02543,5.7321,3.78,7.18,0.484,17.6,6.696,370,55,5,0,23.9
28.1,387.97,0.03049,6.4654,3.78,4.61,0.484,17.6,6.874,370,55,5,0,31.2
48.5,385.64,0.03113,8.0136,4.39,10.53,0.442,18.8,6.014,352,0,3,0,17.5
52.3,364.61,0.06162,8.0136,4.39,12.67,0.442,18.8,5.898,352,0,3,0,17.2
27.7,392.43,0.0187,8.5353,4.15,6.36,0.429,17.9,6.516,351,85,4,0,23.1
29.7,390.94,0.01501,8.344,2.01,5.99,0.435,17,6.635,280,80,4,0,24.5
34.5,389.85,0.02899,8.7921,1.25,5.89,0.429,19.7,6.939,335,40,1,0,26.6
44.4,396.9,0.06211,8.7921,1.25,5.98,0.429,19.7,6.49,335,40,1,0,22.9
35.9,370.78,0.0795,10.7103,1.69,5.49,0.411,18.3,6.579,411,60,4,0,24.1
18.5,392.33,0.07244,10.7103,1.69,7.79,0.411,18.3,5.884,411,60,4,0,18.6
36.1,384.46,0.01709,12.1265,2.02,4.5,0.41,17,6.728,187,90,5,0,30.1
21.9,382.8,0.04301,10.5857,1.91,8.05,0.413,22,5.663,334,80,4,0,18.2
19.5,376.04,0.10659,10.5857,1.91,5.57,0.413,22,5.936,334,80,4,0,20.6
97.4,377.73,8.98296,2.1222,18.1,17.6,0.77,20.2,6.212,666,0,24,1,17.8
91,391.34,3.8497,2.5052,18.1,13.27,0.77,20.2,6.395,666,0,24,1,21.7
83.4,395.43,5.20177,2.7227,18.1,11.48,0.77,20.2,6.127,666,0,24,1,22.7
81.3,390.74,4.26131,2.5091,18.1,12.67,0.77,20.2,6.112,666,0,24,0,22.6
88,374.56,4.54192,2.5182,18.1,7.79,0.77,20.2,6.398,666,0,24,0,25
91.1,350.65,3.83684,2.2955,18.1,14.19,0.77,20.2,6.251,666,0,24,0,19.9
96.2,380.79,3.67822,2.1036,18.1,10.19,0.77,20.2,5.362,666,0,24,0,20.8
89,353.04,4.22239,1.9047,18.1,14.64,0.77,20.2,5.803,666,0,24,1,16.8
82.9,354.55,3.47428,1.9047,18.1,5.29,0.718,20.2,8.78,666,0,24,1,21.9
87.9,354.7,4.55587,1.6132,18.1,7.12,0.718,20.2,3.561,666,0,24,0,27.5
91.4,316.03,3.69695,1.7523,18.1,14,0.718,20.2,4.963,666,0,24,0,21.9
1.5106,13.33,0,24,0,23.1,3.863,131.42,100,20.2,18.1,666,0.631,23.1
100,375.52,4.89822,1.3325,18.1,3.26,0.631,20.2,4.97,666,0,24,0,50
96.8,375.33,5.66998,1.3567,18.1,3.73,0.631,20.2,6.683,666,0,24,1,50
97.5,392.05,6.53876,1.2024,18.1,2.96,0.631,20.2,7.016,666,0,24,1,50
100,366.15,9.2323,1.1691,18.1,9.53,0.631,20.2,6.216,666,0,24,0,50
89.6,347.88,8.26725,1.1296,18.1,8.88,0.668,20.2,5.875,666,0,24,1,50
1.1742,34.77,0,24,0,13.8,4.906,396.9,100,20.2,18.1,666,0.668,13.8
1.137,37.97,0,24,0,13.8,4.138,396.9,100,20.2,18.1,666,0.668,13.8
1.3163,13.44,0,24,0,15,7.313,396.9,97.9,20.2,18.1,666,0.671,15
1.3449,23.24,0,24,0,13.9,6.649,363.02,93.3,20.2,18.1,666,0.671,13.9
98.8,396.9,9.82349,1.358,18.1,21.24,0.671,20.2,6.794,666,0,24,0,13.3
1.3861,23.69,0,24,0,13.1,6.38,396.9,96.2,20.2,18.1,666,0.671,13.1
1.3861,21.78,0,24,0,10.2,6.223,393.74,100,20.2,18.1,666,0.671,10.2
1.4165,17.21,0,24,0,10.4,6.968,396.9,91.9,20.2,18.1,666,0.671,10.4
1.5192,21.08,0,24,0,10.9,6.545,396.9,99.1,20.2,18.1,666,0.671,10.9
100,396.9,9.18702,1.5804,18.1,23.6,0.7,20.2,5.536,666,0,24,0,11.3
100,396.9,7.99248,1.5331,18.1,24.56,0.7,20.2,5.52,666,0,24,0,12.3
1.4395,30.63,0,24,0,8.8,4.368,285.83,91.2,20.2,18.1,666,0.7,8.8
1.4261,30.81,0,24,0,7.2,5.277,396.9,98.1,20.2,18.1,666,0.7,7.2
1.4672,28.28,0,24,0,10.5,4.652,396.9,100,20.2,18.1,666,0.7,10.5
1.5184,31.99,0,24,0,7.4,5,396.9,89.5,20.2,18.1,666,0.7,7.4
1.5895,30.62,0,24,0,10.2,4.88,372.92,100,20.2,18.1,666,0.7,10.2
98.9,396.9,8.15174,1.7281,18.1,20.85,0.7,20.2,5.39,666,0,24,0,11.5
97,394.43,6.96215,1.9265,18.1,17.11,0.7,20.2,5.713,666,0,24,0,15.1
82.5,378.38,5.29305,2.1678,18.1,18.76,0.7,20.2,6.051,666,0,24,0,23.2
1.77,25.68,0,24,0,9.7,5.036,396.9,97,20.2,18.1,666,0.7,9.7
92.6,396.9,8.64476,1.7912,18.1,15.17,0.693,20.2,6.193,666,0,24,0,13.8
1.7821,16.35,0,24,0,12.7,5.887,396.9,94.7,20.2,18.1,666,0.693,12.7
98.8,391.98,8.71675,1.7257,18.1,17.12,0.693,20.2,6.471,666,0,24,0,13.1
96,396.9,5.87205,1.6768,18.1,19.37,0.693,20.2,6.405,666,0,24,0,12.5
98.9,393.1,7.67202,1.6334,18.1,19.92,0.693,20.2,5.747,666,0,24,0,8.5
1.4896,30.59,0,24,0,5,5.453,396.9,100,20.2,18.1,666,0.693,5
77.8,338.16,9.91655,1.5004,18.1,29.97,0.693,20.2,5.852,666,0,24,0,6.3
1.5888,26.77,0,24,0,5.6,5.987,396.9,100,20.2,18.1,666,0.693,5.6
1.5741,20.32,0,24,0,7.2,6.343,396.9,100,20.2,18.1,666,0.693,7.2
100,376.11,9.59571,1.639,18.1,20.31,0.693,20.2,6.404,666,0,24,0,12.1
1.7028,19.77,0,24,0,8.3,5.349,396.9,96,20.2,18.1,666,0.693,8.3
1.6074,27.38,0,24,0,8.5,5.531,329.46,85.4,20.2,18.1,666,0.693,8.5
1.4254,22.98,0,24,0,5,5.683,384.97,100,20.2,18.1,666,0.693,5
1.1781,23.34,0,24,0,11.9,4.138,370.22,100,20.2,18.1,666,0.659,11.9
1.2852,12.13,0,24,0,27.9,5.608,332.09,100,20.2,18.1,666,0.659,27.9
97.9,314.64,7.40389,1.4547,18.1,26.4,0.597,20.2,5.617,666,0,24,0,17.2
1.4655,19.78,0,24,0,27.5,6.852,179.36,100,20.2,18.1,666,0.597,27.5
1.413,10.11,0,24,0,15,5.757,2.6,100,20.2,18.1,666,0.597,15
1.5275,21.22,0,24,0,17.2,6.657,35.05,100,20.2,18.1,666,0.597,17.2
1.5539,34.37,0,24,0,17.9,4.628,28.79,100,20.2,18.1,666,0.597,17.9
1.5894,20.08,0,24,0,16.3,5.155,210.97,100,20.2,18.1,666,0.597,16.3
1.6582,36.98,0,24,0,7,4.519,88.27,100,20.2,18.1,666,0.693,7
1.8347,29.05,0,24,0,7.2,6.434,27.25,100,20.2,18.1,666,0.679,7.2
1.8195,25.79,0,24,0,7.5,6.782,21.57,90.8,20.2,18.1,666,0.679,7.5
1.6475,26.64,0,24,0,10.4,5.304,127.36,89.1,20.2,18.1,666,0.679,10.4
1.8026,20.62,0,24,0,8.8,5.957,16.45,100,20.2,18.1,666,0.679,8.8
1.794,22.74,0,24,0,8.4,6.824,48.45,76.5,20.2,18.1,666,0.718,8.4
1.8589,15.02,0,24,0,16.7,6.411,318.75,100,20.2,18.1,666,0.718,16.7
95.3,319.98,7.02259,1.8746,18.1,15.7,0.718,20.2,6.006,666,0,24,0,14.2
1.9512,14.1,0,24,0,20.8,5.648,291.55,87.6,20.2,18.1,666,0.614,20.8
85.1,2.52,7.05042,2.0218,18.1,23.29,0.614,20.2,6.103,666,0,24,0,13.4
70.6,3.65,8.79212,2.0635,18.1,17.16,0.584,20.2,5.565,666,0,24,0,11.7
1.9096,24.39,0,24,0,8.3,5.896,7.68,95.4,20.2,18.1,666,0.679,8.3
1.9976,15.69,0,24,0,10.2,5.837,24.65,59.7,20.2,18.1,666,0.584,10.2
1.8629,14.52,0,24,0,10.9,6.202,18.82,78.7,20.2,18.1,666,0.679,10.9
78.1,96.73,7.36711,1.9356,18.1,21.52,0.679,20.2,6.193,666,0,24,0,11
95.6,60.72,9.33889,1.9682,18.1,24.08,0.679,20.2,6.38,666,0,24,0,9.5
86.1,83.45,8.49213,2.0527,18.1,17.64,0.584,20.2,6.348,666,0,24,0,14.5
2.0882,19.69,0,24,0,14.1,6.833,81.33,94.3,20.2,18.1,666,0.584,14.1
74.8,97.95,6.44405,2.2004,18.1,12.03,0.584,20.2,6.425,666,0,24,0,16.1
87.9,100.19,5.58107,2.3158,18.1,16.22,0.713,20.2,6.436,666,0,24,0,14.3
2.2222,15.17,0,24,0,11.7,6.208,100.63,95,20.2,18.1,666,0.713,11.7
2.1247,23.27,0,24,0,13.4,6.629,109.85,94.6,20.2,18.1,666,0.74,13.4
2.0026,18.05,0,24,0,9.6,6.461,27.49,93.3,20.2,18.1,666,0.74,9.6
1.9142,26.45,0,24,0,8.7,6.152,9.32,100,20.2,18.1,666,0.74,8.7
1.8206,34.02,0,24,0,8.4,5.935,68.95,87.9,20.2,18.1,666,0.74,8.4
93.9,396.9,9.39063,1.8172,18.1,22.88,0.74,20.2,5.627,666,0,24,0,12.8
1.8662,22.11,0,24,0,10.5,5.818,391.45,92.4,20.2,18.1,666,0.74,10.5
97.2,385.96,9.72418,2.0651,18.1,19.52,0.74,20.2,6.406,666,0,24,0,17.1
100,395.69,5.66637,2.0048,18.1,16.59,0.74,20.2,6.219,666,0,24,0,18.4
100,386.73,9.96654,1.9784,18.1,18.85,0.74,20.2,6.485,666,0,24,0,15.4
1.8956,23.79,0,24,0,10.8,5.854,240.52,96.6,20.2,18.1,666,0.74,10.8
1.9879,23.98,0,24,0,11.8,6.459,43.06,94.8,20.2,18.1,666,0.74,11.8
96.4,318.01,6.28807,2.072,18.1,17.79,0.74,20.2,6.341,666,0,24,0,14.9
96.6,388.52,9.92485,2.198,18.1,16.44,0.74,20.2,6.251,666,0,24,0,12.6
98.7,396.9,9.32909,2.2616,18.1,18.13,0.713,20.2,6.185,666,0,24,0,14.1
98.3,304.21,7.52601,2.185,18.1,19.31,0.713,20.2,6.417,666,0,24,0,13
92.6,0.32,6.71772,2.3236,18.1,17.44,0.713,20.2,6.749,666,0,24,0,13.4
98.2,355.29,5.44114,2.3552,18.1,17.73,0.713,20.2,6.655,666,0,24,0,15.2
91.8,385.09,5.09017,2.3682,18.1,17.27,0.713,20.2,6.297,666,0,24,0,16.1
99.3,375.87,8.24809,2.4527,18.1,16.74,0.713,20.2,7.393,666,0,24,0,17.8
94.1,6.68,9.51363,2.4961,18.1,18.71,0.713,20.2,6.728,666,0,24,0,14.9
86.5,50.92,4.75237,2.4358,18.1,18.13,0.713,20.2,6.525,666,0,24,0,14.1
87.9,10.48,4.66883,2.5806,18.1,19.01,0.713,20.2,5.976,666,0,24,0,12.7
80.3,3.5,8.20058,2.7792,18.1,16.94,0.713,20.2,5.936,666,0,24,0,13.5
83.7,272.21,7.75223,2.7831,18.1,16.23,0.713,20.2,6.301,666,0,24,0,14.9
84.4,396.9,6.80117,2.7175,18.1,14.7,0.713,20.2,6.081,666,0,24,0,20
90,255.23,4.81213,2.5975,18.1,16.42,0.713,20.2,6.701,666,0,24,0,16.4
88.4,391.43,3.69311,2.5671,18.1,14.65,0.713,20.2,6.376,666,0,24,0,17.7
83,396.9,6.65492,2.7344,18.1,13.99,0.713,20.2,6.317,666,0,24,0,19.5
89.9,393.82,5.82115,2.8016,18.1,10.29,0.713,20.2,6.513,666,0,24,0,20.2
65.4,396.9,7.83932,2.9634,18.1,13.22,0.655,20.2,6.209,666,0,24,0,21.4
48.2,334.4,3.1636,3.0665,18.1,14.13,0.655,20.2,5.759,666,0,24,0,19.9
84.7,22.01,3.77498,2.8715,18.1,17.15,0.655,20.2,5.952,666,0,24,0,19
94.5,331.29,4.42228,2.5403,18.1,21.32,0.584,20.2,6.003,666,0,24,0,19.1
2.9084,18.13,0,24,0,19.1,5.926,368.74,71,20.2,18.1,666,0.58,19.1
2.8237,14.76,0,24,0,20.1,5.713,396.9,56.7,20.2,18.1,666,0.58,20.1
84,396.9,4.34879,3.0334,18.1,16.29,0.58,20.2,6.167,666,0,24,0,19.9
90.7,395.33,4.03841,3.0993,18.1,12.87,0.532,20.2,6.229,666,0,24,0,19.6
75,393.37,3.56868,2.8965,18.1,14.36,0.58,20.2,6.437,666,0,24,0,23.2
67.6,374.68,4.64689,2.5329,18.1,11.66,0.614,20.2,6.98,666,0,24,0,29.8
95.4,352.58,8.05579,2.4298,18.1,18.14,0.584,20.2,5.427,666,0,24,0,13.8
97.4,302.76,6.39312,2.206,18.1,24.1,0.584,20.2,6.162,666,0,24,0,13.3
93.6,396.21,4.87141,2.3053,18.1,18.68,0.614,20.2,6.484,666,0,24,0,16.7
2.1007,24.91,0,24,0,12,5.304,349.48,97.3,20.2,18.1,666,0.614,12
2.1705,18.03,0,24,0,14.6,6.185,379.7,96.7,20.2,18.1,666,0.614,14.6
1.9512,13.11,0,24,0,21.4,6.229,383.32,88,20.2,18.1,666,0.614,21.4
64.7,396.9,5.82401,3.4242,18.1,10.74,0.532,20.2,6.242,666,0,24,0,23
74.9,393.07,5.70818,3.3317,18.1,7.74,0.532,20.2,6.75,666,0,24,0,23.7
77,395.28,5.73116,3.4106,18.1,7.01,0.532,20.2,7.061,666,0,24,0,25
40.3,392.92,2.81838,4.0983,18.1,10.42,0.532,20.2,5.762,666,0,24,0,21.8
41.9,370.73,2.37857,3.724,18.1,13.34,0.583,20.2,5.871,666,0,24,0,20.6
51.9,388.62,3.67367,3.9917,18.1,10.58,0.583,20.2,6.312,666,0,24,0,21.2
79.8,392.68,5.69175,3.5459,18.1,14.98,0.583,20.2,6.114,666,0,24,0,19.1
53.2,388.22,4.83567,3.1523,18.1,11.45,0.583,20.2,5.905,666,0,24,0,20.6
92.7,395.09,0.15086,1.8209,27.74,18.06,0.609,20.1,5.454,711,0,4,0,15.2
98.3,344.05,0.18337,1.7554,27.74,23.97,0.609,20.1,5.414,711,0,4,0,7
98,318.43,0.20746,1.8226,27.74,29.68,0.609,20.1,5.093,711,0,4,0,8.1
98.8,390.11,0.10574,1.8681,27.74,18.07,0.609,20.1,5.983,711,0,4,0,13.6
83.5,396.9,0.11132,2.1099,27.74,13.35,0.609,20.1,5.983,711,0,4,0,20.1
54,396.9,0.17331,2.3817,9.69,12.01,0.585,19.2,5.707,391,0,6,0,21.8
42.6,396.9,0.27957,2.3817,9.69,13.59,0.585,19.2,5.926,391,0,6,0,24.5
28.8,393.29,0.17899,2.7986,9.69,17.6,0.585,19.2,5.67,391,0,6,0,23.1
72.9,396.9,0.2896,2.7986,9.69,21.14,0.585,19.2,5.39,391,0,6,0,19.7
70.6,396.9,0.26838,2.8927,9.69,14.1,0.585,19.2,5.794,391,0,6,0,18.3
65.3,396.9,0.23912,2.4091,9.69,12.92,0.585,19.2,6.019,391,0,6,0,21.2
73.5,395.77,0.17783,2.3999,9.69,15.1,0.585,19.2,5.569,391,0,6,0,17.5
79.7,396.9,0.22438,2.4982,9.69,14.33,0.585,19.2,6.027,391,0,6,0,16.8
69.1,391.99,0.06263,2.4786,11.93,9.67,0.573,21,6.593,273,0,1,0,22.4
76.7,396.9,0.04527,2.2875,11.93,9.08,0.573,21,6.12,273,0,1,0,20.6
91,396.9,0.06076,2.1675,11.93,5.64,0.573,21,6.976,273,0,1,0,23.9
89.3,393.45,0.10959,2.3889,11.93,6.48,0.573,21,6.794,273,0,1,0,22
80.8,396.9,0.04741,2.505,11.93,7.88,0.573,21,6.03,273,0,1,0,11.9
